Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
"[PRIMA DI INIZIARE] Consenso al Trattamento dei Dati
Dichiaro di aver letto l'informativa, di essere maggiorenne e di acconsentire al trattamento dei miei dati in forma anonima e aggregata per le finalità di ricerca descritte.",A quale fascia d'età appartieni?,Qual è la tua attuale occupazione principale? ,Qual è il tuo più alto titolo di studio conseguito? ,Qual è la tua principale fonte di reddito/sostentamento? ,"Quale tipologia di istituto consideri come il tuo principale ""fornitore"" di servizi finanziari (dove accrediti lo stipendio o gestisci la maggior parte delle tue entrate/uscite)? ","Complessivamente, quanti conti correnti o carte con IBAN (tradizionali e/o digitali) possiedi? ","Esprimi la tua valutazione sulle banche TRADIZIONALI per ciascuno dei seguenti fattori (usa una scala da 1 a 5, dove 1 è Molto Negativa e 5 è Molto Positiva).  [Fiducia e Sicurezza percepita]","Esprimi la tua valutazione sulle banche TRADIZIONALI per ciascuno dei seguenti fattori (usa una scala da 1 a 5, dove 1 è Molto Negativa e 5 è Molto Positiva).  [Costi e Commissioni]","Esprimi la tua valutazione sulle banche TRADIZIONALI per ciascuno dei seguenti fattori (usa una scala da 1 a 5, dove 1 è Molto Negativa e 5 è Molto Positiva).  [Innovazione e Tecnologia]","Esprimi la tua valutazione sulle banche TRADIZIONALI per ciascuno dei seguenti fattori (usa una scala da 1 a 5, dove 1 è Molto Negativa e 5 è Molto Positiva).  [Facilità d'uso (App/Sito Web)]","Esprimi la tua valutazione sulle banche TRADIZIONALI per ciascuno dei seguenti fattori (usa una scala da 1 a 5, dove 1 è Molto Negativa e 5 è Molto Positiva).  [Qualità del Servizio Clienti (in filiale o telefonico)]","Quali dei seguenti tipi di servizi/app Fintech utilizzi, anche occasionalmente? (Puoi selezionare più di una risposta) ","Esprimi la tua valutazione sulle app/servizi FINTECH per ciascuno dei seguenti fattori (usa una scala da 1 a 5, dove 1 è Molto Negativa e 5 è Molto Positiva).  [Fiducia e Sicurezza percepita]","Esprimi la tua valutazione sulle app/servizi FINTECH per ciascuno dei seguenti fattori (usa una scala da 1 a 5, dove 1 è Molto Negativa e 5 è Molto Positiva).  [Costi e Commissioni]","Esprimi la tua valutazione sulle app/servizi FINTECH per ciascuno dei seguenti fattori (usa una scala da 1 a 5, dove 1 è Molto Negativa e 5 è Molto Positiva).  [Facilità d'uso (App/Sito Web)]","Esprimi la tua valutazione sulle app/servizi FINTECH per ciascuno dei seguenti fattori (usa una scala da 1 a 5, dove 1 è Molto Negativa e 5 è Molto Positiva).  [Qualità del Servizio Clienti (via chat/email)]","Quanto sono importanti per te i seguenti fattori nella scelta di un nuovo servizio finanziario (conto, carta, etc.)? (Usa una scala da 1 a 5, dove 1 è Per Nulla Importante e 5 è Estremamente Importante).  [Assenza di costi fissi (canone zero)]","Quanto sono importanti per te i seguenti fattori nella scelta di un nuovo servizio finanziario (conto, carta, etc.)? (Usa una scala da 1 a 5, dove 1 è Per Nulla Importante e 5 è Estremamente Importante).  [Solidità e reputazione storica del brand]","Quanto sono importanti per te i seguenti fattori nella scelta di un nuovo servizio finanziario (conto, carta, etc.)? (Usa una scala da 1 a 5, dove 1 è Per Nulla Importante e 5 è Estremamente Importante).  [Facilità e velocità di apertura del servizio]","Quanto sono importanti per te i seguenti fattori nella scelta di un nuovo servizio finanziario (conto, carta, etc.)? (Usa una scala da 1 a 5, dove 1 è Per Nulla Importante e 5 è Estremamente Importante).  [Disponibilità di una filiale fisica vicino a te]","Quanto sono importanti per te i seguenti fattori nella scelta di un nuovo servizio finanziario (conto, carta, etc.)? (Usa una scala da 1 a 5, dove 1 è Per Nulla Importante e 5 è Estremamente Importante).  [Qualità, velocità e design dell'app mobile]","Quanto sono importanti per te i seguenti fattori nella scelta di un nuovo servizio finanziario (conto, carta, etc.)? (Usa una scala da 1 a 5, dove 1 è Per Nulla Importante e 5 è Estremamente Importante).  [Accesso a servizi innovativi (es. criptovalute, trading a basso costo)]","Quanto sono importanti per te i seguenti fattori nella scelta di un nuovo servizio finanziario (conto, carta, etc.)? (Usa una scala da 1 a 5, dove 1 è Per Nulla Importante e 5 è Estremamente Importante).  [Promozioni e cashback]","Pensando ai prossimi 2-3 anni, dove prevedi di gestire la maggior parte delle tue finanze personali? "
Accetto,22 - 25 anni,"Lavoratore/Lavoratrice (neolaureato/a, da meno di 2 anni nel mondo del lavoro)",Laurea Magistrale / Master (o titolo equipollente o superiore),Lavoro full-time,"Una banca tradizionale con filiali fisiche (es. Intesa Sanpaolo, UniCredit, BNL, etc.)",Tre o più,3,2,2,3,1 (Molto Negativa),Nessuno dei precedenti,3,4,3,2,4,4,4,4,4,2,3,Prevalentemente su una banca tradizionale
Accetto,22 - 25 anni,Studente/Studentessa,Laurea Magistrale / Master (o titolo equipollente o superiore),Supporto familiare,"Una banca tradizionale con filiali fisiche (es. Intesa Sanpaolo, UniCredit, BNL, etc.)",Uno,4,2,2,4,4,"Credito istantaneo / Buy Now Pay Later (es. Klarna, Scalapay, PayPal ""Paga in 3 rate"")",3,3,4,2,3,4,4,1 (Per Nulla Imp.),4,1 (Per Nulla Imp.),1 (Per Nulla Imp.),Utilizzando un mix bilanciato di entrambi
Accetto,26 - 30 anni,Lavoratore/Lavoratrice (da più di 2 anni nel mondo del lavoro),Laurea Magistrale / Master (o titolo equipollente o superiore),Lavoro full-time,"Una banca tradizionale con filiali fisiche (es. Intesa Sanpaolo, UniCredit, BNL, etc.)",Due,4,4,2,3,4,"Conti e pagamenti digitali (es. Revolut, N26, Hype, Satispay);Investimenti e trading online (es. Trade Republic, eToro, Degiro)",4,5 (molto positiva),3,4,4,4,5 (Estremamente Imp.),3,3,3,1 (Per Nulla Imp.),Utilizzando un mix bilanciato di entrambi
Accetto,18 -21 anni,Studente/Studentessa,Diploma di scuola superiore,Supporto familiare,"Una neobanca o app fintech 100% digitale (es. Revolut, N26, Hype, etc.)",Tre o più,4,2,2,2,4,"Conti e pagamenti digitali (es. Revolut, N26, Hype, Satispay)",2,2,4,2,5 (Estremamente Imp.),5 (Estremamente Imp.),4,3,3,3,4,Utilizzando un mix bilanciato di entrambi
Accetto,26 - 30 anni,Lavoratore/Lavoratrice (da più di 2 anni nel mondo del lavoro),Diploma di scuola superiore,Lavoro full-time,"Una banca tradizionale con filiali fisiche (es. Intesa Sanpaolo, UniCredit, BNL, etc.)",Tre o più,4,2,2,4,4,"Conti e pagamenti digitali (es. Revolut, N26, Hype, Satispay)",4,4,5 (molto positiva),2,4,5 (Estremamente Imp.),5 (Estremamente Imp.),3,3,1 (Per Nulla Imp.),4,Utilizzando un mix bilanciato di entrambi
Accetto,18 -21 anni,Studente/Studentessa,Diploma di scuola superiore,Supporto familiare,"Una banca online di un gruppo tradizionale (es. buddybank, Isybank, Fineco, etc.)",Tre o più,4,1 (Molto Negativa),4,2,4,"Credito istantaneo / Buy Now Pay Later (es. Klarna, Scalapay, PayPal ""Paga in 3 rate"")",3,5 (molto positiva),5 (molto positiva),4,5 (Estremamente Imp.),5 (Estremamente Imp.),2,4,3,2,3,Prevalentemente su una banca tradizionale
Accetto,26 - 30 anni,Lavoratore/Lavoratrice (da più di 2 anni nel mondo del lavoro),Laurea Magistrale / Master (o titolo equipollente o superiore),Lavoro full-time,"Una banca online di un gruppo tradizionale (es. buddybank, Isybank, Fineco, etc.)",Tre o più,3,2,2,2,1 (Molto Negativa),"Conti e pagamenti digitali (es. Revolut, N26, Hype, Satispay);Investimenti e trading online (es. Trade Republic, eToro, Degiro)",2,4,4,3,5 (Estremamente Imp.),5 (Estremamente Imp.),5 (Estremamente Imp.),2,4,3,2,Utilizzando un mix bilanciato di entrambi
Accetto,26 - 30 anni,"Lavoratore/Lavoratrice (neolaureato/a, da meno di 2 anni nel mondo del lavoro)",Laurea Magistrale / Master (o titolo equipollente o superiore),Lavoro full-time,"Una banca online di un gruppo tradizionale (es. buddybank, Isybank, Fineco, etc.)",Tre o più,1 (Molto Negativa),1 (Molto Negativa),1 (Molto Negativa),3,2,"Conti e pagamenti digitali (es. Revolut, N26, Hype, Satispay);Investimenti e trading online (es. Trade Republic, eToro, Degiro)",1 (Molto Negativa),3,3,1 (Molto Negativa),5 (Estremamente Imp.),3,4,1 (Per Nulla Imp.),1 (Per Nulla Imp.),4,2,Prevalentemente su una neobanca/servizio fintech
Accetto,26 - 30 anni,Lavoratore/Lavoratrice (da più di 2 anni nel mondo del lavoro),Laurea Triennale (o titolo equipollente),Lavoro full-time,"Una neobanca o app fintech 100% digitale (es. Revolut, N26, Hype, etc.)",Due,5 (Molto Positiva),1 (Molto Negativa),2,2,5 (Molto Positiva),"Conti e pagamenti digitali (es. Revolut, N26, Hype, Satispay);Investimenti e trading online (es. Trade Republic, eToro, Degiro)",2,4,4,1 (Molto Negativa),3,4,3,3,4,2,5 (Estremamente Imp.),Utilizzando un mix bilanciato di entrambi
Accetto,26 - 30 anni,Studente/Studentessa,Diploma di scuola superiore,Supporto familiare,"Una banca tradizionale con filiali fisiche (es. Intesa Sanpaolo, UniCredit, BNL, etc.)",Tre o più,3,1 (Molto Negativa),2,2,3,"Conti e pagamenti digitali (es. Revolut, N26, Hype, Satispay);Investimenti e trading online (es. Trade Republic, eToro, Degiro);Credito istantaneo / Buy Now Pay Later (es. Klarna, Scalapay, PayPal ""Paga in 3 rate"")",2,3,3,2,5 (Estremamente Imp.),4,5 (Estremamente Imp.),3,4,3,3,Utilizzando un mix bilanciato di entrambi
Accetto,26 - 30 anni,"Lavoratore/Lavoratrice (neolaureato/a, da meno di 2 anni nel mondo del lavoro)",Diploma di scuola superiore,Lavoro full-time,"Una banca online di un gruppo tradizionale (es. buddybank, Isybank, Fineco, etc.)",Due,3,1 (Molto Negativa),1 (Molto Negativa),1 (Molto Negativa),3,"Conti e pagamenti digitali (es. Revolut, N26, Hype, Satispay)",2,3,3,1 (Molto Negativa),5 (Estremamente Imp.),5 (Estremamente Imp.),2,3,3,1 (Per Nulla Imp.),3,Utilizzando un mix bilanciato di entrambi
Accetto,22 - 25 anni,"Lavoratore/Lavoratrice (neolaureato/a, da meno di 2 anni nel mondo del lavoro)",Laurea Magistrale / Master (o titolo equipollente o superiore),Lavoro full-time,"Una banca tradizionale con filiali fisiche (es. Intesa Sanpaolo, UniCredit, BNL, etc.)",Due,4,2,3,4,5 (Molto Positiva),"Conti e pagamenti digitali (es. Revolut, N26, Hype, Satispay)",2,5 (molto positiva),5 (molto positiva),1 (Molto Negativa),5 (Estremamente Imp.),4,3,4,4,1 (Per Nulla Imp.),3,Utilizzando un mix bilanciato di entrambi
Accetto,26 - 30 anni,"Lavoratore/Lavoratrice (neolaureato/a, da meno di 2 anni nel mondo del lavoro)",Laurea Magistrale / Master (o titolo equipollente o superiore),Lavoro full-time,"Una banca online di un gruppo tradizionale (es. buddybank, Isybank, Fineco, etc.)",Tre o più,5 (Molto Positiva),5 (Molto Positiva),4,5 (Molto Positiva),4,"Conti e pagamenti digitali (es. Revolut, N26, Hype, Satispay);Investimenti e trading online (es. Trade Republic, eToro, Degiro)",4,5 (molto positiva),5 (molto positiva),4,4,5 (Estremamente Imp.),4,2,5 (Estremamente Imp.),5 (Estremamente Imp.),5 (Estremamente Imp.),Utilizzando un mix bilanciato di entrambi
